tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
London,A,1972-11-18,Carpet,R32,3,Stan Smith,Vladimir Zednik,W/O,,,,
London,A,1972-11-18,Carpet,R32,3,Patrick Proisy,Jurgen Fassbender,6-4 6-1,,,,
London,A,1972-11-18,Carpet,R32,3,Barry Phillips Moore,Pat Cramer,3-6 7-6 6-3,,,,
London,A,1972-11-18,Carpet,R32,3,Andrew Pattison,Nicola Spear,W/O,,,,
London,A,1972-11-18,Carpet,R32,3,Onny Parun,Richard Lewis,7-6 6-4,,,,
London,A,1972-11-18,Carpet,R32,3,Frantisek Pala,John Feaver,7-6 6-7 7-5,,,,
London,A,1972-11-18,Carpet,R32,3,Ilie Nastase,Colin Dibley,6-2 6-3,,,,
London,A,1972-11-18,Carpet,R32,3,Raymond Moore,Ken Weatherley,6-1 5-7 6-3,,,,
London,A,1972-11-18,Carpet,R32,3,Frew Mcmillan,Juan Gisbert,4-6 6-2 6-4,,,,
London,A,1972-11-18,Carpet,R32,3,David Lloyd,John Paish,7-6 6-4,,,,
London,A,1972-11-18,Carpet,R32,3,Jan Kodes,Jim Mcmanus,6-3 7-6,,,,
London,A,1972-11-18,Carpet,R32,3,Clark Graebner,Stephen Warboys,7-5 6-4,,,,
London,A,1972-11-18,Carpet,R32,3,Tom Gorman,Jiri Hrebec,W/O,,,,
London,A,1972-11-18,Carpet,R32,3,Jaime Fillol,Andres Gimeno,1-6 6-3 6-3,,,,
London,A,1972-11-18,Carpet,R32,3,John De Mendoza,John Lloyd,6-3 6-1,,,,
London,A,1972-11-18,Carpet,R32,3,Jimmy Connors,Ian Fletcher,6-4 6-4,,,,
London,A,1972-11-18,Carpet,R16,3,Patrick Proisy,David Lloyd,7-6 6-4,,,,
London,A,1972-11-18,Carpet,R16,3,Barry Phillips Moore,Jan Kodes,6-4 6-4,,,,
London,A,1972-11-18,Carpet,R16,3,Andrew Pattison,Frantisek Pala,6-1 4-6 7-5,,,,
London,A,1972-11-18,Carpet,R16,3,Onny Parun,Stan Smith,6-4 6-3,,,,
London,A,1972-11-18,Carpet,R16,3,Ilie Nastase,Clark Graebner,6-2 6-4,,,,
London,A,1972-11-18,Carpet,R16,3,Frew Mcmillan,Jaime Fillol,2-6 6-3 7-6,,,,
London,A,1972-11-18,Carpet,R16,3,Tom Gorman,John De Mendoza,6-3 6-3,,,,
London,A,1972-11-18,Carpet,R16,3,Jimmy Connors,Raymond Moore,3-6 6-0 6-0,,,,
London,A,1972-11-18,Carpet,QF,3,Onny Parun,Andrew Pattison,6-3 6-4,,,,
London,A,1972-11-18,Carpet,QF,3,Ilie Nastase,Patrick Proisy,6-3 6-3,,,,
London,A,1972-11-18,Carpet,QF,3,Tom Gorman,Barry Phillips Moore,6-1 5-7 6-3,,,,
London,A,1972-11-18,Carpet,QF,3,Jimmy Connors,Frew Mcmillan,7-5 6-3,,,,
London,A,1972-11-18,Carpet,SF,3,Ilie Nastase,Jimmy Connors,6-3 6-4,,,,
London,A,1972-11-18,Carpet,SF,3,Tom Gorman,Onny Parun,6-4 6-4,,,,
London,A,1972-11-18,Carpet,F,3,Ilie Nastase,Tom Gorman,6-4 6-3,,,,
Roanoke,A,1972-01-21,Carpet,R16,3,Frank Froehling,Milan Holecek,1-6 6-3 6-2,,,,
Roanoke,A,1972-01-21,Carpet,QF,3,Vladimir Zednik,Thomaz Koch,7-6 3-6 7-6,,,,
Roanoke,A,1972-01-21,Carpet,QF,3,Frank Froehling,Haroon Rahim,6-3 7-6,,,,
Roanoke,A,1972-01-21,Carpet,QF,3,Jaime Fillol,Ian Crookenden,6-2 6-3,,,,
Roanoke,A,1972-01-21,Carpet,QF,3,Jimmy Connors,Ove Bengtson,6-4 4-6 6-2,,,,
Roanoke,A,1972-01-21,Carpet,SF,3,Vladimir Zednik,Jaime Fillol,6-4 7-6,,,,
Roanoke,A,1972-01-21,Carpet,SF,3,Jimmy Connors,Frank Froehling,6-3 6-7 6-3,,,,
Roanoke,A,1972-01-21,Carpet,F,3,Jimmy Connors,Vladimir Zednik,6-4 7-6,,,,
Madrid,A,1972-04-16,Clay,R64,3,Antonio Zugarelli,Peter Szoke,6-2 6-4,,,,
Madrid,A,1972-04-16,Clay,R64,3,Patrick Proisy,Kim Warwick,6-1 6-1,,,,
Madrid,A,1972-04-16,Clay,R64,3,Barry Phillips Moore,Frew Mcmillan,7-5 6-4,,,,
Madrid,A,1972-04-16,Clay,R64,3,Manuel Orantes,Ezio Di Matteo,W/O,,,,
Madrid,A,1972-04-16,Clay,R64,3,Bernard Mignot,Georges Goven,7-5 6-2,,,,
Madrid,A,1972-04-16,Clay,R64,3,Jan Kodes,Ove Bengtson,7-5 6-3,,,,
Madrid,A,1972-04-16,Clay,R64,3,Lew Hoad,Ivan Molina,6-4 6-4,,,,
Madrid,A,1972-04-16,Clay,R64,3,Billy Higgins,Ion Tiriac,6-2 6-1,,,,
Madrid,A,1972-04-16,Clay,R64,3,Andres Gimeno,Wanaro N'Godrella,6-4 6-1,,,,
Madrid,A,1972-04-16,Clay,R64,3,Harald Elschenbroich,Boro Jovanovic,6-4 6-2,,,,
Madrid,A,1972-04-16,Clay,R64,3,Dick Crealy,Jose Moreno,7-5 6-4,,,,
Madrid,A,1972-04-16,Clay,R64,3,Jimmy Connors,Nicola Pietrangeli,W/O,,,,
Madrid,A,1972-04-16,Clay,R64,3,Bjorn Borg,Jan Erik Lundquist,6-3 6-2,,,,
Madrid,A,1972-04-16,Clay,R32,3,Stan Smith,Nicola Spear,4-6 6-4 7-5,,,,
Madrid,A,1972-04-16,Clay,R32,3,Patrick Proisy,Billy Higgins,6-1 7-5,,,,
Madrid,A,1972-04-16,Clay,R32,3,Andrew Pattison,Bernard Mignot,6-4 7-6,,,,
Madrid,A,1972-04-16,Clay,R32,3,Onny Parun,Tom Gorman,6-2 6-7 7-5,,,,
Madrid,A,1972-04-16,Clay,R32,3,Adriano Panatta,Raymond Moore,6-2 2-0 RET,,,,
Madrid,A,1972-04-16,Clay,R32,3,Frantisek Pala,Jean Baptiste Chanfreau,7-6 6-2,,,,
Madrid,A,1972-04-16,Clay,R32,3,Manuel Orantes,Antonio Munoz,6-4 7-5,,,,
Madrid,A,1972-04-16,Clay,R32,3,Ilie Nastase,Torben Ulrich,6-4 6-2,,,,
Madrid,A,1972-04-16,Clay,R32,3,Jan Kodes,Lew Hoad,6-2 7-5,,,,
Madrid,A,1972-04-16,Clay,R32,3,Andres Gimeno,Jairo Velasco,6-3 6-1,,,,
Madrid,A,1972-04-16,Clay,R32,3,Harald Elschenbroich,Barry Phillips Moore,6-4 6-1,,,,
Madrid,A,1972-04-16,Clay,R32,3,Patrice Dominguez,Martin Mulligan,6-3 6-4,,,,
Madrid,A,1972-04-16,Clay,R32,3,Jimmy Connors,Dick Crealy,5-7 7-5 6-3,,,,
Madrid,A,1972-04-16,Clay,R32,3,Bjorn Borg,Antonio Zugarelli,7-6 6-3,,,,
Madrid,A,1972-04-16,Clay,R32,3,Gerald Battrick,Jim Ward,4-6 6-1 6-1,,,,
Madrid,A,1972-04-16,Clay,R32,3,Szabolcz Baranyi,Juan Manuel Couder,7-6 6-2,,,,
Madrid,A,1972-04-16,Clay,R16,3,Patrick Proisy,Jimmy Connors,1-6 6-1 6-1,,,,
Madrid,A,1972-04-16,Clay,R16,3,Adriano Panatta,Stan Smith,7-6 7-6,,,,
Madrid,A,1972-04-16,Clay,R16,3,Frantisek Pala,Patrice Dominguez,6-2 6-4,,,,
Madrid,A,1972-04-16,Clay,R16,3,Manuel Orantes,Andrew Pattison,7-6 6-2,,,,
Madrid,A,1972-04-16,Clay,R16,3,Ilie Nastase,Onny Parun,6-4 6-2,,,,
Madrid,A,1972-04-16,Clay,R16,3,Jan Kodes,Bjorn Borg,6-3 6-2,,,,
Madrid,A,1972-04-16,Clay,R16,3,Andres Gimeno,Harald Elschenbroich,6-3 7-5,,,,
Madrid,A,1972-04-16,Clay,R16,3,Szabolcz Baranyi,Gerald Battrick,7-5 6-2,,,,
Madrid,A,1972-04-16,Clay,QF,3,Patrick Proisy,Manuel Orantes,7-6 4-6 6-4,,,,
Madrid,A,1972-04-16,Clay,QF,3,Frantisek Pala,Adriano Panatta,6-3 6-7 6-1,,,,
Madrid,A,1972-04-16,Clay,QF,3,Ilie Nastase,Szabolcz Baranyi,6-2 6-2,,,,
Madrid,A,1972-04-16,Clay,QF,3,Jan Kodes,Andres Gimeno,6-4 6-2,,,,
Madrid,A,1972-04-16,Clay,SF,5,Frantisek Pala,Patrick Proisy,6-2 4-6 7-5 7-6,,,,
Madrid,A,1972-04-16,Clay,SF,5,Ilie Nastase,Jan Kodes,3-6 6-7 7-6 7-6 6-3,,,,
Madrid,A,1972-04-16,Clay,F,5,Ilie Nastase,Frantisek Pala,6-0 6-0 6-1,,,,
Dublin,A,1972-07-10,Grass,R32,3,John Yuill,Jim Buckley,6-0 6-1,,,,
Dublin,A,1972-07-10,Grass,R32,3,Jeff Simpson,Jimmy Casey,6-4 5-7 6-2,,,,
Dublin,A,1972-07-10,Grass,R32,3,Gene Scott,Kenneth Reid,6-4 6-3,,,,
Dublin,A,1972-07-10,Grass,R32,3,Don O'Connell,D O'Keefe,6-2 6-3,,,,
Dublin,A,1972-07-10,Grass,R32,3,Aj Mitha,James Mcardle,6-4 6-4,,,,
Dublin,A,1972-07-10,Grass,R32,3,Frew Mcmillan,Anthony Brennan,6-2 6-0,,,,
Dublin,A,1972-07-10,Grass,R32,3,Don Mccormick,Harry Sheridan,4-6 6-0 6-1,,,,
Dublin,A,1972-07-10,Grass,R32,3,Mike Machette,Richard Levine,11-9 6-4,,,,
Dublin,A,1972-07-10,Grass,R32,3,Peter Jackson,L Cousins,10-8 6-3,,,,
Dublin,A,1972-07-10,Grass,R32,3,Lew Hoad,Gerry Waldron,6-2 6-1,,,,
Dublin,A,1972-07-10,Grass,R32,3,Michael Hickey,James Flanagan,6-1 6-2,,,,
Dublin,A,1972-07-10,Grass,R32,3,Bob Hewitt,Peter Ledbetter,6-2 7-5,,,,
