tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Auckland,WTA250,2024-12-29,Hard,R32,3,Nao Hibino,Jule Niemeier,6-3 6-4,145.0,89.0,496.0,816.0
Auckland,WTA250,2024-12-29,Hard,R32,3,Clara Tauson,Lucrezia Stefanini,6-2 6-3,50.0,146.0,1070.0,494.0
Auckland,WTA250,2024-12-30,Hard,R32,3,Rebecca Marino,Lulu Sun,6-3 3-6 6-3,102.0,40.0,756.0,1300.0
Auckland,WTA250,2024-12-30,Hard,R32,3,Bernarda Pera,Victoria Jimenez Kasintseva,6-2 7-5,71.0,156.0,896.0,465.0
Auckland,WTA250,2024-12-30,Hard,R32,3,Naomi Osaka,Lina Glushko,6-4 6-4,57.0,220.0,1014.0,323.0
Auckland,WTA250,2024-12-30,Hard,R32,3,Julia Grabher,Leyre Romero Gormaz,2-6 6-3 7-6,470.0,158.0,112.0,459.0
Auckland,WTA250,2024-12-30,Hard,R32,3,Ann Li,Sloane Stephens,5-7 6-4 6-4,96.0,74.0,787.0,882.0
Auckland,WTA250,2024-12-30,Hard,R32,3,Katie Volynets,Erika Andreeva,6-4 6-7 6-2,58.0,83.0,991.0,838.0
Auckland,WTA250,2024-12-30,Hard,R32,3,Jaqueline Cristian,Yuliia Starodubtseva,6-3 2-0 RET,85.0,101.0,832.0,762.0
Auckland,WTA250,2024-12-30,Hard,R32,3,Sofia Kenin,Xiyu Wang,7-6 6-1,81.0,98.0,848.0,774.0
Auckland,WTA250,2024-12-31,Hard,R32,3,Hailey Baptiste,Renata Jamrichova,6-0 6-2,92.0,372.0,805.0,164.0
Auckland,WTA250,2024-12-31,Hard,R32,3,Madison Keys,Lucia Bronzetti,6-4 6-4,21.0,73.0,2126.0,887.0
Auckland,WTA250,2024-12-31,Hard,R32,3,Greet Minnen,Anna Lena Friedsam,6-4 6-0,95.0,528.0,791.0,91.0
Auckland,WTA250,2024-12-31,Hard,R32,3,Jodie Burrage,Vivian Yang,6-3 6-3,179.0,1139.0,398.0,11.0
Auckland,WTA250,2024-12-31,Hard,R32,3,Robin Montgomery,Mai Hontama,6-0 2-6 6-0,117.0,157.0,639.0,459.0
Auckland,WTA250,2024-12-31,Hard,R32,3,Alycia Parks,Amanda Anisimova,2-6 6-2 6-3,82.0,36.0,841.0,1461.0
Auckland,WTA250,2024-12-31,Hard,R16,3,Bernarda Pera,Rebecca Marino,7-6 6-4,71.0,102.0,896.0,756.0
Auckland,WTA250,2025-01-01,Hard,R16,3,Naomi Osaka,Julia Grabher,7-5 6-3,57.0,470.0,1014.0,112.0
Auckland,WTA250,2025-01-01,Hard,R16,3,Clara Tauson,Sofia Kenin,4-6 7-6 7-6,50.0,81.0,1070.0,848.0
Auckland,WTA250,2025-01-01,Hard,R16,3,Katie Volynets,Ann Li,6-4 6-3,58.0,96.0,991.0,787.0
Auckland,WTA250,2025-01-02,Hard,R16,3,Madison Keys,Jaqueline Cristian,6-1 6-2,21.0,85.0,2126.0,832.0
Auckland,WTA250,2025-01-02,Hard,R16,3,Robin Montgomery,Nao Hibino,6-2 6-2,117.0,145.0,639.0,496.0
Auckland,WTA250,2025-01-02,Hard,R16,3,Alycia Parks,Greet Minnen,7-5 6-3,82.0,95.0,841.0,791.0
Auckland,WTA250,2025-01-02,Hard,R16,3,Hailey Baptiste,Jodie Burrage,5-7 7-5 7-6,92.0,179.0,805.0,398.0
Auckland,WTA250,2025-01-02,Hard,QF,3,Robin Montgomery,Bernarda Pera,6-4 6-4,117.0,71.0,639.0,896.0
Auckland,WTA250,2025-01-03,Hard,QF,3,Naomi Osaka,Hailey Baptiste,6-7 6-1 6-2,57.0,92.0,1014.0,805.0
Auckland,WTA250,2025-01-03,Hard,QF,3,Clara Tauson,Madison Keys,6-4 7-6,50.0,21.0,1070.0,2126.0
Auckland,WTA250,2025-01-03,Hard,QF,3,Alycia Parks,Katie Volynets,6-1 6-4,82.0,58.0,841.0,991.0
Auckland,WTA250,2025-01-04,Hard,SF,3,Clara Tauson,Robin Montgomery,6-4 6-3,50.0,117.0,1070.0,639.0
Auckland,WTA250,2025-01-04,Hard,SF,3,Naomi Osaka,Alycia Parks,6-4 6-2,57.0,82.0,1014.0,841.0
Auckland,WTA250,2025-01-05,Hard,F,3,Clara Tauson,Naomi Osaka,4-6 RET,50.0,57.0,1070.0,1014.0
Brisbane,WTA500,2024-12-29,Hard,R64,3,Suzan Lamens,Kamilla Rakhimova,6-2 6-4,87.0,60.0,821.0,987.0
Brisbane,WTA500,2024-12-29,Hard,R64,3,Ashlyn Krueger,Moyuka Uchijima,6-3 1-6 6-3,64.0,62.0,969.0,981.0
Brisbane,WTA500,2024-12-29,Hard,R64,3,Maya Joint,Maddison Inglis,6-3 6-4,116.0,154.0,645.0,471.0
