tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Australian Open,Grand Slam,1971-03-07,Grass,R32,3,Patricia Coleman,Helen Taylor,6-0 6-0,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R32,3,Barbara Hawcroft,Cynthia Doerner,6-3 6-4,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R32,3,Helen Gourlay,Vicki Lancaster Kerr,6-3 3-6 6-1,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R32,3,Patti Hogan,Sandra Walsham,6-4 6-2,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R32,3,Lesley Hunt,Adrienne Avis,6-3 6-4,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R32,3,Jan Lehane,Dianne Fromholtz,6-3 6-0,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R32,3,Norma Eastburn,Gail Sherriff,W/O,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R32,3,Sandra Hole,Janet Fallis,6-7 6-3 7-5,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R32,3,Norma Marsh,Marilyn Tesch,6-1 6-2,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R32,3,Lesley Turner,Carol Sherriff,6-1 6-1,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R32,3,Winnie Shaw,Janet Young,6-1 6-0,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R32,3,Patricia Edwards,Kerry Harris,6-3 7-6,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R32,3,Sharon Walsh Pete,Anne Coleman,6-2 6-2,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R32,3,Helen Kayser,Kati Athorne,6-0 5-0 RET,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R16,3,Margaret Court,Patricia Coleman,6-1 6-1,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R16,3,Helen Gourlay,Barbara Hawcroft,7-5 6-4,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R16,3,Lesley Hunt,Patti Hogan,6-3 6-4,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R16,3,Jan Lehane,Norma Eastburn,6-1 6-0,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R16,3,Norma Marsh,Sandra Hole,6-2 6-3,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R16,3,Winnie Shaw,Lesley Turner,6-0 1-6 6-4,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R16,3,Sharon Walsh Pete,Patricia Edwards,6-3 6-1,,,,
Australian Open,Grand Slam,1971-03-07,Grass,R16,3,Evonne Goolagong,Helen Kayser,6-1 6-1,,,,
Australian Open,Grand Slam,1971-03-07,Grass,QF,3,Margaret Court,Helen Gourlay,6-0 6-4,,,,
