tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Billie Jean King,Frances Luff,6-1 6-3,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Evonne Goolagong,Helen Kayser,6-3 6-1,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Karen Krantzcke,Lexie Kenny,6-1 6-2,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Helen Sheedy,Lany Kaligis,7-5 6-2,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Ann Jones,Patricia Edwards,6-0 6-2,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Kerry Harris,Barbara Hawcroft,6-3 6-4,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Lesley Hunt,Janine Whyte,6-2 6-2,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Lesley Turner,Wendy Gilchrist,6-3 7-5,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Francoise Durr,Helen Rush,7-5 7-5,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Helen Gourlay,Judy Tegart,2-6 7-5 6-3,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Margaret Starr,Kerryl Chute,6-4 6-2,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Kerry Reid,Lita Liem,6-2 6-4,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Janet Young,Kerry Wilkinson,6-2 6-1,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Rosie Casals,Gail Sherriff,4-6 6-2 6-2,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Helen Amos,Pamela Brand,6-3 4-6 7-5,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R32,3,Margaret Court,Judith Dibar,6-0 6-0,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R16,3,Billie Jean King,Evonne Goolagong,6-3 6-1,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R16,3,Karen Krantzcke,Helen Sheedy,6-0 6-1,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R16,3,Ann Jones,Kerry Harris,9-7 6-1,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R16,3,Lesley Hunt,Lesley Turner,W/O,,,,
Australian Open,Grand Slam,1969-01-20,Grass,R16,3,Helen Gourlay,Francoise Durr,4-6 6-4 6-0,,,,
