tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Evonne Goolagong,Helen Worland,6-0 6-1,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Janine Whyte,Anne Coleman,6-4 6-2,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Mona Guerrant,Kerry Wilkinson,6-1 6-2,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Barbara Hawcroft,Diane James,7-5 6-1,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Olga Morozova,Kay Williams,6-0 6-1,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Sally Irvine,Robyn Knobel,6-2 6-4,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Marilyn Tesch,Mandy Morgan,6-4 6-2,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Helen Gourlay,Patricia Billing,6-1 6-2,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Gail Sherriff,Brenda Dart,6-2 6-1,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Janet Young,Ann Lebedeff,6-0 6-1,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Wendy Turnbull,Sandra Hole,6-0 6-4,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Kerry Harris,Chris Matison,6-3 6-2,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Karen Krantzcke,Pam Whytcross,6-2 6-0,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Patricia Coleman,Maureen Mccalman,6-3 6-3,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Judy Harris,Patricia King,6-3 5-7 6-1,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R32,3,Virginia Wade,Cheryl Norquay,6-3 6-1,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R16,3,Evonne Goolagong,Janine Whyte,6-3 6-1,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R16,3,Barbara Hawcroft,Mona Guerrant,5-7 7-5 6-3,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R16,3,Olga Morozova,Sally Irvine,7-5 4-6 6-1,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R16,3,Helen Gourlay,Marilyn Tesch,6-3 7-6,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R16,3,Gail Sherriff,Janet Young,7-5 4-6 6-1,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R16,3,Kerry Harris,Wendy Turnbull,6-1 7-6,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R16,3,Patricia Coleman,Karen Krantzcke,7-6 5-7 6-1,,,,
Australian Open,Grand Slam,1971-12-27,Grass,R16,3,Virginia Wade,Judy Harris,6-1 6-0,,,,
Australian Open,Grand Slam,1971-12-27,Grass,QF,3,Evonne Goolagong,Barbara Hawcroft,6-1 3-6 6-1,,,,
Australian Open,Grand Slam,1971-12-27,Grass,QF,3,Helen Gourlay,Olga Morozova,6-2 6-1,,,,
Australian Open,Grand Slam,1971-12-27,Grass,QF,3,Kerry Harris,Gail Sherriff,6-3 7-6,,,,
Australian Open,Grand Slam,1971-12-27,Grass,QF,3,Virginia Wade,Patricia Coleman,6-2 6-2,,,,
Australian Open,Grand Slam,1971-12-27,Grass,SF,3,Evonne Goolagong,Helen Gourlay,6-2 7-6,,,,
