tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Adelaide 1,P,2022-01-03,Hard,F,3,Ashleigh Barty,Elena Rybakina,6-3 6-2,1,14,7582,2855
Adelaide 1,P,2022-01-03,Hard,SF,3,Ashleigh Barty,Iga Swiatek,6-2 6-4,1,9,7582,3786
Adelaide 1,P,2022-01-03,Hard,SF,3,Elena Rybakina,Misaki Doi,6-4 6-3,14,105,2855,771
Adelaide 1,P,2022-01-03,Hard,QF,3,Ashleigh Barty,Sofia Kenin,6-3 6-4,1,12,7582,2971
Adelaide 1,P,2022-01-03,Hard,QF,3,Iga Swiatek,Victoria Azarenka,6-3 2-6 6-1,9,27,3786,2166
Adelaide 1,P,2022-01-03,Hard,QF,3,Elena Rybakina,Shelby Rogers,3-6 6-3 6-2,14,40,2855,1583
Adelaide 1,P,2022-01-03,Hard,QF,3,Misaki Doi,Kaja Juvan,6-3 4-6 7-6(5),105,100,771,788
Adelaide 1,P,2022-01-03,Hard,R16,3,Ashleigh Barty,Coco Gauff,4-6 7-5 6-1,1,22,7582,2550
Adelaide 1,P,2022-01-03,Hard,R16,3,Sofia Kenin,Ajla Tomljanovic,3-6 7-6(5) 6-3,12,45,2971,1395
Adelaide 1,P,2022-01-03,Hard,R16,3,Victoria Azarenka,Priscilla Hon,6-3 7-5,27,263,2166,266
Adelaide 1,P,2022-01-03,Hard,R16,3,Iga Swiatek,Leylah Fernandez,6-1 6-2,9,24,3786,2284
Adelaide 1,P,2022-01-03,Hard,R16,3,Elena Rybakina,Marie Bouzkova,6-3 6-4,14,90,2855,838
Adelaide 1,P,2022-01-03,Hard,R16,3,Shelby Rogers,Maria Sakkari,7-6(5) 2-6 6-4,40,6,1583,4385
Adelaide 1,P,2022-01-03,Hard,R16,3,Misaki Doi,Anastasia Gasanova,7-6(4) 6-3,105,130,771,587
Adelaide 1,P,2022-01-03,Hard,R16,3,Kaja Juvan,Aryna Sabalenka,7-6(6) 6-1,100,2,788,6380
Adelaide 1,P,2022-01-03,Hard,R32,3,Coco Gauff,Ulrikke Eikeri,6-2 6-1,22,306,2550,220
Adelaide 1,P,2022-01-03,Hard,R32,3,Ajla Tomljanovic,Heather Watson,6-4 7-6(5),45,72,1395,949
Adelaide 1,P,2022-01-03,Hard,R32,3,Sofia Kenin,Lucia Bronzetti,7-5 7-5,12,148,2971,495
Adelaide 1,P,2022-01-03,Hard,R32,3,Victoria Azarenka,Paula Badosa,6-3 6-2,27,8,2166,3849
Adelaide 1,P,2022-01-03,Hard,R32,3,Priscilla Hon,Petra Kvitova,6-7(4) 7-5 6-2,263,17,266,2660
Adelaide 1,P,2022-01-03,Hard,R32,3,Leylah Fernandez,Ekaterina Alexandrova,6-3 6-4,24,34,2284,1736
Adelaide 1,P,2022-01-03,Hard,R32,3,Iga Swiatek,Daria Saville,6-3 6-3,9,421,3786,126
Adelaide 1,P,2022-01-03,Hard,R32,3,Elena Rybakina,Storm Hunter,6-4 1-6 6-1,14,132,2855,581
Adelaide 1,P,2022-01-03,Hard,R32,3,Marie Bouzkova,Despina Papamichail,6-3 6-0,90,182,838,370
Adelaide 1,P,2022-01-03,Hard,R32,3,Shelby Rogers,Maddison Inglis,6-1 6-3,40,141,1583,549
Adelaide 1,P,2022-01-03,Hard,R32,3,Maria Sakkari,Tamara Zidansek,6-2 0-6 6-4,6,30,4385,1876
