rank,name,ioc,dob
610,Pia Lovric,SLO,2002/4/23
611,Maria Golovina,RUS,2007/8/5
612,Luciana Moyano,ARG,2005/9/27
613,Fiona Ganz,SUI,2000/9/16
614,Lina Glushko,ISR,2000/1/12
615,Sarah Iliev,FRA,2006/10/3
616,Adelina Lachinova,LAT,2008/2/10
617,Merna Refaat,EGY,2004/8/16
618,Ksenia Zaytseva,RUS,2004/9/13
619,Beatrise Zeltina,LAT,2007/3/18
620,Ya Yi Yang,TPE,2004/5/30
621,Amelia Honer,USA,2003/3/2
622,Chenting Zhu,CHN,2007/9/13
623,Angelica Raggi,ITA,1998/11/14
624,Urszula Radwanska,POL,1990/12/7
625,Yuliya Hatouka,BLR,2000/4/24
626,Clara Vlasselaer,BEL,2001/3/3
627,Berta Bonardi,ARG,1995/6/21
628,Jada Robinson,USA,1999/1/29
629,Melisa Ercan,TUR,2005/9/1
630,Bianca Elena Barbulescu,ROU,2003/11/11
631,Noelia Bouzo Zanotti,ESP,1999/9/6
632,Erika Sema,JPN,1988/11/24
633,Elena Milovanovic,SRB,2001/1/31
634,Marine Szostak,FRA,2002/1/2
635,Kylie Collins,USA,2002/12/4
636,Lan Mi,CHN,2004/11/15
637,Ksenia Efremova,FRA,2009/4/28
638,Dasha Plekhanova,CAN,2004/2/19
639,Ekaterina Yashina,RUS,1993/8/6
640,Emma Lene,FRA,1999/7/15
641,Lea Nilsson,SWE,2008/6/24
642,Alize Lim,FRA,1990/7/13
643,Marcelina Podlinska,POL,1999/5/27
644,Alexis Nguyen,USA,2007/12/2
645,Chengyiyi Yuan,CHN,2000/8/24
646,Michika Ozeki,JPN,1992/3/17
647,Amelie Van Impe,BEL,2004/7/19
648,Ana Grubor,CAN,2004/1/2
649,Alba Rey Garcia,ESP,2002/6/29
650,Sayaka Ishii,JPN,2005/8/31
651,Mary Lewis,USA,1998/10/25
652,Amy Zhu,USA,1994/10/28
653,Elina Nepliy,RUS,1997/10/23
654,Elena Korokozidi,GRE,2003/6/27
655,Astrid Cirotte,FRA,2003/12/16
656,Maria Kalyakina,RUS,2006/5/2
657,Adrienn Nagy,HUN,2001/3/24
658,Nauhany Vitoria Leme Da Silva,BRA,2010/3/13
659,Anna Petkovic,GER,2005/6/2
660,Jessica Hinojosa Gomez,MEX,1997/9/18
661,Loes Ebeling Koning,NED,2006/2/20
662,Rachel Gailis,USA,2004/8/30
663,Daria Egorova,RUS,2007/6/22
664,Iva Ivanova,BUL,2006/9/9
665,Hikaru Sato,JPN,1999/4/5
666,Nina Vargova,SVK,2005/9/9
667,Ellie Schoppe,USA,2001/11/18
668,Gabriella Da Silva Fick,AUS,2000/8/23
669,Eliska Tichackova,CZE,2006/12/14
670,Victoria Milovanova,RUS,2007/3/1
671,Usue Maitane Arconada,USA,1998/10/28
672,Hiroko Kuwata,JPN,1990/12/18
673,Salma Ewing,USA,2000/8/28
674,Raphaelle Lacasse,CAN,2000/8/16
675,Gaia Maduzzi,ITA,2006/4/30
676,Anita Sahdiieva,UKR,2004/1/21
677,Daria Saville,AUS,1994/3/5
678,Ruien Zhang,CHN,2008/4/27
679,Stefani Webb,AUS,2005/3/20
680,Valeria Bhunu,ZIM,1995/4/3
681,Rebecca Munk Mortensen,DEN,2005/11/1
682,Honoka Kobayashi,JPN,2000/4/23
683,Jennifer Brady,USA,1995/4/12
684,Eudice Wong Chong,HKG,1996/4/22
685,Anamaria Federica Oana,ROU,2007/7/18
686,Olivia Lincer,USA,2004/12/17
687,Sofia Rocchetti,ITA,2002/8/23
688,Lavinia Tanasie,ROU,2003/12/12
689,Beatrice Ricci,ITA,2003/7/7
690,Junhan Zhang,CHN,2007/4/16
691,Ann Akasha Ceuca,GER,2006/11/8
692,Jiayi Wang,CHN,2007/9/8
693,Sachia Vickery,USA,1995/5/11
694,Briana Szabo,ROU,2005/11/26
695,Sarah Melany Fajmonova,CZE,2007/3/9
696,Rose Marie Nijkamp,NED,2006/2/3
697,Adithya Karunaratne,SRI,2001/12/4
698,Jiangxue Han,CHN,2001/11/28
699,Dune Vaissaud,FRA,2007/2/15
700,Alyssa Reguer,FRA,2006/5/4
701,Ava Markham,USA,1999/12/29
702,Polina Kuharenko,BLR,2008/6/9
703,Su Jeong Jang,KOR,1995/3/13
704,Carmen Lopez Martinez,ESP,2005/4/23
705,Anna Kubareva,BLR,2001/2/6
706,Cheuk Ying Shek,HKG,2005/4/5
707,Laia Petretic,FRA,2004/4/7
708,Daria Zelinskaya,RUS,2004/8/26
709,Caroline Garcia,FRA,1993/10/16
710,Demi Tran,NED,2000/11/26
711,Maria Garcia Cid,ESP,2005/4/5
712,Ivana Sebestova,CZE,2001/3/4
713,Kateryna Lazarenko,UKR,2004/11/7
714,Neus Torner Sensano,ESP,2007/10/8
715,Kristina Novak,SLO,2000/8/3
716,Alice Robbe,FRA,2000/5/10
717,Mia Horvit,USA,1997/7/23
718,Franziska Sziedat,GER,2000/8/6
719,Evialina Laskevich,BLR,2004/11/10
720,Edda Mamedova,RUS,2006/10/12
721,Sophia Biolay,FRA,2001/7/3
722,Kisa Yoshioka,JPN,2000/9/2
723,Stefania Bojica,ROU,2005/3/10
724,Naho Sato,JPN,2001/1/23
725,Yujia Huang,CHN,2002/11/18
726,Ana Bogdan,ROU,1992/11/25
727,Irina Balus,SVK,2005/9/12
728,Ida Wobker,GER,2010/9/8
729,Daria Yesypchuk,UKR,2005/10/4
730,Aleksandra Krunic,SRB,1993/3/15
731,Nadiia Kolb,UKR,1993/1/19
732,Peangtarn Plipuech,THA,1992/11/15
733,Julia Konishi Camargo Silva,BRA,2000/1/26
734,Luisa Meyer Auf Der Heide,GER,2002/1/31
735,Oceane Babel,FRA,2004/2/26
736,Hong Yi Cody Wong,HKG,2002/3/14
737,Maria Jose Portillo Ramirez,MEX,1999/5/8
738,Anastasia Bertacchi,ITA,2006/12/18
739,Camila Romero,ECU,1998/10/5
740,Bella Payne,USA,2007/9/15
741,Maria Sholokhova,RUS,2004/1/12
742,Victoria Osuigwe,USA,2006/12/12
743,Petra Konjikusic,SRB,2007/6/7
744,Federica Sacco,ITA,2002/4/20
745,Yuliana Lizarazo,COL,1993/5/23
746,Christasha Mcneil,USA,2006/10/3
747,Punnin Kovapitukted,THA,2003/2/5
748,Kamilla Bartone,LAT,2002/6/7
749,Valentina Mediorreal Arias,COL,2007/3/2
750,Jamie Loeb,USA,1995/3/8
751,Xinran Sun,CHN,
752,Laura Svatikova,SVK,1994/4/29
753,Zoziya Kardava,RUS,2001/7/15
754,Yuhan Wang,CHN,2007/6/21
755,Meng Yi Chen,CHN,2003/1/19
756,Arina Gabriela Vasilescu,ROU,1997/3/6
757,Vlada Mincheva,RUS,2007/2/3
758,Belle Thompson,AUS,1999/11/19
759,Alyssa Ahn,USA,2006/12/27
760,Brooke Black,GBR,2007/11/20
761,Marie Mettraux,SUI,2000/4/7
762,Noemi Maines,ITA,2006/7/17
763,Sara Errani,ITA,1987/4/29
764,Amina Anshba,RUS,1999/9/9
765,Ani Amiraghyan,ARM,1993/10/9
766,Jimar Geraldine Gerald Gonzalez,CHI,2002/1/17
767,Anne Christine Lutkemeyer Obregon,USA,2004/5/24
768,Aruzhan Sagandykova,KAZ,2004/12/21
769,Yasmin Ezzat,EGY,2003/8/27
770,Chelsea Fontenel,SUI,2004/6/25
771,Anastasiia Firman,UKR,2006/12/29
772,Madelief Hageman,NED,2003/1/28
773,Thea Frodin,USA,
774,Yiming Dang,CHN,2004/8/30
775,Nagi Hanatani,JPN,1995/3/7
776,Yanina Wickmayer,BEL,1989/10/20
777,Lauren Davis,USA,1993/10/9
778,Giulia Safina Popa,ROU,2009/11/9
779,Monique Barry,NZL,2002/6/21
780,Ava Hrastar,USA,2002/2/27
781,Chloe Noel,FRA,2004/3/22
782,Tilwith Di Girolami,BEL,2003/9/29
783,Stephanie Wagner,GER,1994/9/17
784,Indianna Spink,GBR,2002/10/7
785,Ya Hsuan Lee,TPE,1995/7/20
786,Lucie Nguyen Tan,FRA,2003/5/30
787,Adriana Reami,USA,1997/11/13
788,Jesika Maleckova,CZE,1994/8/16
789,Malene Helgo,NOR,1999/8/26
790,Kailey Evans,USA,
791,Victoria Gomez,ESP,2003/11/13
792,Laima Vladson,LTU,2007/9/18
793,Makenna Jones,USA,1998/2/26
794,Ella Haavisto,FIN,2002/3/28
795,Chihiro Muramatsu,JPN,1998/5/22
796,Maria Toma,ROU,1999/1/25
797,Linda Sevcikova,CZE,1998/6/9
798,Nika Radisic,SLO,2000/3/19
799,Gaeul Jang,KOR,2006/9/30
800,Sae Noguchi,JPN,2007/3/26
801,Jamilah Snells,USA,2002/8/29
802,Carolina Bohrer Martins,BRA,2007/9/15
803,Daphnee Mpetshi Perricard,FRA,2008/11/21
804,Maria Fernanda Herazo Gonzalez,COL,1997/3/22
805,Iveta Dapkute,LTU,1993/1/29
806,Maia Ilinca Burcescu,ROU,2009/11/26
807,Masha Lazarenko,UKR,2008/12/12
808,Dunja Maric,SRB,2006/6/13
809,Yujin Kim,KOR,2005/6/10
810,Merel Hoedt,NED,1999/8/20
811,Isabella Barrera Aguirre,USA,2003/3/7
812,Lilian Poling,USA,1997/12/30
813,Maya Iyengar,USA,2007/6/10
814,Emeline Dartron,FRA,2000/4/12
815,Petra Hule,AUS,1999/3/5
816,Michaela Bayerlova,CZE,1998/12/14
817,Marianne Argyrokastriti,GRE,2001/10/1
818,Astrid Wanja Brune Olsen,NOR,1999/6/23
819,Mana Kawamura,JPN,2001/8/6
820,Diana Marcinkevica,LAT,1992/8/3
821,Eugenie Bouchard,CAN,1994/2/25
822,Ana Konjuh,CRO,1997/12/27
823,Laquisa Khan,AUS,2002/11/11
824,Luna Vujovic,SRB,2009/7/24
825,Amy Sucha,CZE,2007/11/29
826,Shannon Lam,USA,2008/6/7
827,Coco Bosman,NED,2003/3/12
828,Lucie Petruzelova,CZE,2002/8/30
829,Kristina Penickova,USA,2009/9/11
830,Anna Frey,USA,
831,Linea Bajraliu,SWE,2007/1/11
832,Anastasiia Gureva,RUS,2005/3/24
833,Victoria Kan,RUS,1995/8/3
834,Raquel Gonzalez Vilar,ESP,2004/4/5
835,Sophia Fry,AUS,2000/7/31
836,Anastasija Cvetkovic,SRB,2008/6/25
837,Arabella Koller,AUT,2000/8/31
838,Savannah Broadus,USA,2002/9/18
839,Suana Tucakovic,BIH,2004/10/25
840,Kate Mansfield,USA,2004/10/24
841,Carolin Raschdorf,GER,2006/9/3
842,Anja Wildgruber,GER,2002/3/4
843,Viola Turini,ITA,2005/12/13
844,Mao Mushika,JPN,2005/7/21
845,Chukwumelije Clarke,USA,
846,Olga Danilova,CYP,
847,Anna Snigireva,RUS,2007/12/22
848,Johanna Silva,GER,1997/11/15
849,Karine Sarkisova,RUS,1998/6/7
850,Klara Veldman,NED,2003/12/15
851,Lorena Solar Donoso,ESP,2007/6/7
852,Jessica Failla,USA,1997/7/5
853,D J Bennett,USA,2003/8/28
854,Shiyu Ye,CHN,2007/4/20
855,Ayumi Miyamoto,JPN,2000/12/18
856,Solymar Colling,USA,2000/4/21
857,Claudia Ferrer Perez,ESP,2006/7/14
858,Federica Di Sarra,ITA,1990/5/16
859,Sonja Zhenikhova,GER,2008/5/21
860,Jizelle Sibai,AUS,2009/10/1
861,Mara Gae,ROU,2005/9/14
862,Monika Stankiewicz,POL,2006/10/24
863,Sofia Rojas,ECU,1995/8/1
864,Ophelie Boullay,FRA,2008/3/25
865,Polina Leykina,RUS,1994/9/20
866,Onyu Choi,KOR,2006/12/29
867,Louna Zoppas,FRA,2007/3/12
868,Julia Stamatova,BUL,1993/6/4
869,Marie Villet,FRA,1996/11/17
870,Paula Cembranos,SUI,2004/1/10
871,Kristina Mladenovic,FRA,1993/5/14
872,Irem Kurt,TUR,2007/6/7
873,Angelica Blake,USA,2000/10/23
874,Agustina Chlpac,ARG,1997/2/10
874,Nada Fouad,EGY,2003/8/21
876,Diana Ioana Simionescu,ROU,2007/8/3
877,Ava Rodriguez,USA,2008/5/22
878,Maria Camila Torres Murcia,COL,2002/11/10
879,Julia Garcia Ruiz,MEX,2003/8/5
880,Selina Dal,GER,2001/11/28
881,Aspen Schuman,USA,2007/7/6
882,Francoise Abanda,CAN,1997/2/5
883,Margaux Maquet,BEL,2001/10/10
884,Shiho Tsujioka,JPN,2007/1/14
885,Celia Cervino Ruiz,ESP,1997/12/14
886,Anna Pircher,AUT,2010/5/4
887,Elza Tomase,LAT,2002/1/2
888,Lauryn John Baptiste,GBR,1999/7/26
889,Ziva Falkner,SLO,2002/7/7
890,Jacqueline Cabaj Awad,SWE,1996/1/28
891,Romina Ccuno,PER,2002/9/1
892,Angelina Wirges,GER,2002/6/17
893,Natalia Sousa Salazar,MEX,2006/5/16
894,Valeria Savinykh,RUS,1991/2/20
895,Joy De Zeeuw,NED,2006/5/15
896,Patricija Paukstyte,LTU,2004/9/13
897,Sofia Johnson,GBR,
898,Arlinda Rushiti,SUI,1999/3/27
899,Abigail Rencheli,MDA,2002/4/5
900,Carmen Gallardo Guevara,ESP,
901,Salma Drugdova,SVK,2004/12/9
902,Wozuko Mdlulwa,RSA,2007/8/16
903,Camilla Gennaro,ITA,2003/9/30
904,Maddalena Giordano,ITA,2003/5/21
905,Jing Jing Lu,CHN,1989/5/5
906,Akanksha Dileep Nitture,IND,2003/3/8
907,Ashleigh Simes,AUS,2003/2/5
908,Shruti Ahlawat,IND,2006/6/16
909,Tianmei Wang,USA,2007/3/19
910,Ekaterina Tupitsyna,RUS,
911,Vicky Van De Peer,BEL,2001/1/11
912,Yingqun Sun,CHN,2006/2/9
913,Evgeniya Burdina,RUS,2001/1/17
914,Valentina Ivanov,NZL,2001/3/27
915,Ela Nala Milic,SLO,2006/1/1
916,Lavinia Luciano,ITA,2006/12/24
917,Ana Filipa Santos,POR,1996/2/12
918,Candela Vazquez,ARG,2008/8/15
919,Ines Murta,POR,1997/5/31
920,Kallista Liu,USA,2004/6/1
921,Julieta Lara Estable,ARG,1997/7/15
922,Petra Sedlackova,CZE,2001/8/7
923,Lucie Urbanova,CZE,2006/2/14
924,Allura Zamarripa,USA,2002/8/15
925,Beatrice Stagno,ITA,2003/3/13
926,Sabine Rutlauka,LAT,2002/10/11
927,Giulia Paterno,ITA,
928,Mila Masic,SRB,1997/11/29
929,Defne Cirpanli,TUR,2004/10/8
930,Allegra Korpanec Davies,GBR,
931,Ilay Yoruk,TUR,2001/11/5
932,Karla Popovic,CRO,1995/9/5
933,Teah Chavez,CAN,2005/12/17
934,Dabin Kim,KOR,1997/1/2
935,Romane Longueville,BEL,2005/4/18
936,Alexandra Osborne,AUS,1995/4/8
937,Elyse Tse,NZL,2004/4/10
938,Diana Demidova,RUS,1997/9/26
939,Yu Jin Ahn,KOR,1997/3/13
940,Cherry Kim,KOR,2000/2/29
941,Tiana Tian Deng,SWE,2008/7/5
942,Jordyn Mcbride,USA,2002/2/9
943,Valeriia Artemeva,RUS,2007/6/9
944,Polina Bakhmutkina,RUS,1999/4/25
945,Victoria Pohle,GER,2007/6/29
946,Mihaela Buzarnescu,ROU,1988/5/4
947,Charo Esquiva Banuls,ESP,2008/3/12
948,Carson Tanguilig,USA,2003/7/31
949,Alja Senica,SLO,
950,Fanny Norin,SWE,2001/11/11
951,Adriana Tkachenko,UKR,2007/6/26
952,Marta Lombardini,ITA,2003/2/27
953,Stefaniya Pushkar,UKR,
954,Xi Luo,CHN,2007/12/16
955,Georgina Garcia Perez,ESP,1992/5/13
956,Nanari Katsumi,JPN,2003/2/17
957,Alesia Breaz,ROU,
958,Alicia Smith,AUS,1996/9/27
959,Valentina Losciale,ITA,1997/1/4
960,Simona Ogescu,ROU,2002/10/5
961,Marta Soriano Santiago,ESP,2006/4/20
962,Daria Kudashova,RUS,2003/3/28
963,Sara Svetac,CRO,2004/10/28
964,Sabastiani Leon,MEX,1992/3/23
965,Eszter Meri,SVK,2002/12/11
966,Sonal Patil,IND,2005/2/18
967,Krisha Mahendran,IND,2007/1/20
968,Francesca Mattioli,ITA,2006/7/4
969,Misa Malkin,USA,
970,Shihomi Li Xuan Leong,MAS,2007/6/6
971,Ingrid Carolina Millan,MEX,2001/11/3
972,Jo Yee Chan,USA,2004/2/2
973,Inka Wawrzkiewicz,POL,2008/4/25
974,Ustiniya Lekomtseva,RUS,2006/9/13
975,Yushan Shao,CHN,2008/12/26
976,Ruby Cooling,GBR,2007/11/3
977,Sylvie Zund,LIE,2001/2/26
978,Midori Castillo Meza,USA,2003/11/16
979,Aysegul Mert,TUR,2004/4/17
980,Antonia Stoyanov,NED,2009/9/15
981,Felitsata Dorofeeva Rybas,RUS,
982,Amelia Paszun,POL,2007/9/2
983,Nadia Lagaev,CAN,2008/1/18
984,Rikke De Koning,NED,2003/5/4
985,Arina Varaksina,RUS,2007/3/18
986,Clarissa Blomqvist,FIN,2004/11/26
987,Elena Teodora Cadar,ROU,1994/2/24
988,Eri Hozumi,JPN,1994/2/17
989,Anne Schaefer,GER,1987/3/1
990,Jaimee Fourlis,AUS,1999/9/17
991,Veronica Miroshnichenko,RUS,1997/11/19
992,Didi Bredberg Canizares,USA,2004/7/29
993,Anna Pushkareva,RUS,2009/4/22
994,Tina Manescu,GER,2010/1/22
995,Anastasiya Kuparev,GER,2001/6/4
996,Annika Penickova,USA,2009/9/11
997,Elizabeth Ionescu,USA,2008/4/28
998,Lisa Marie Rioux,JPN,1997/5/1
999,Sara Victoria Balan,ROU,
1000,Alexandra Vasilyeva,RUS,2001/12/18
1001,Arina Arifullina,RUS,2006/1/22
1002,Marie Mattel,FRA,2000/1/7
1003,Darja Suvirdjonkova,SRB,2005/6/16
1004,Sofia Da Cruz Mendonca,BRA,2002/3/9
1005,Elizabeth Coleman,USA,2003/3/21
1006,Ha Eum Lee,KOR,2008/6/24
1007,Gloriana Goreti Nahum,BEN,2006/10/2
1008,Gabriella Broadfoot,RSA,2004/11/1
1009,Yuhan Liu,CHN,2003/8/31
1010,Fang An Lin,TPE,2005/5/16
1011,Yanan Hou,CHN,2005/5/27
1012,Gaia Squarcialupi,ITA,1997/10/23
1013,Barbora Michalkova,CZE,2006/4/3
1014,Natsuho Arakawa,JPN,1997/9/3
1015,Patricia Georgiana Goina,ROU,2005/3/25
1016,Helena Stevic,FRA,2002/3/5
1017,Freya Christie,GBR,1997/11/8
1018,Luna Maria Cinalli,ARG,
1019,Tegan Bush,GBR,2008/11/2
1020,Diae El Jardi,MAR,2000/10/13
1021,Suha Lee,KOR,2008/12/8
1022,Catherine Aulia,AUS,2004/5/7
1023,Sonja Zhiyenbayeva,GER,2006/7/2
1025,Barbara Kostecka,POL,2009/6/4
1025,Lily Taylor,AUS,2006/9/2
1027,Polina Skliar,UKR,2010/10/24
1028,Seda Baslilar,FRA,2008/5/11
1029,I Wen Wan,TPE,2006/11/4
1030,Claudia Sofia Martinez Solis,MEX,2004/3/2
1031,Sara Mikaca,BIH,2003/3/24
1032,Nicole Gadient,SUI,1998/8/7
1033,Cindy Langlais,FRA,
1034,Victoria Luiza Barros,BRA,
1035,Marie Benoit,BEL,1995/3/16
1036,Kim Chiarello,FRA,2004/6/28
1036,Lea Tholey,FRA,1995/9/3
1038,Yu Jun Lin,CHN,
1039,Janae Preston,USA,2010/8/13
1040,Lucie Pawlak,FRA,2006/4/12
1041,Tamira Paszek,AUT,1990/12/6
1042,Anna Sedysheva,RUS,
1043,Zuzanna Kolonus,POL,2005/6/29
1044,Lucia Peyre,ARG,2005/7/26
1045,Anna Kartseva,RUS,
1046,Ulyana Hrabavets,BLR,
1047,Cara Korhonen,AUS,
1048,Miyu Nakashima,JPN,2001/1/5
1049,Sina Herrmann,GER,2001/10/24
1050,Krystyna Pochtovyk,UKR,1998/9/15
1051,Jenna Dean,USA,2000/6/18
1052,Brandy Walker,USA,1997/5/21
1053,Amelie Justine Hejtmanek,GER,
1054,Maria Paulina Perez Garcia,COL,1996/1/10
1055,Maaya Rajeshwaran Revathi,IND,2009/6/12
1056,Selina Atay,TUR,2001/11/20
1057,Mariana Isabel Higuita Barraza,COL,2007/6/14
1058,Giselle Isabella Guillen,AUS,2008/5/21
1059,Charlotte Keitel,GER,2005/4/25
1059,Kennedy Drenser Hagmann,USA,2009/4/3
1061,Nina Radovanovic,FRA,2003/10/22
1062,Andrea Obradovic,SRB,2004/5/18
1063,Lorena Schaedel,GER,
1064,Lisa Claeys,BEL,2003/3/9
1065,Jeong Moon,KOR,
1065,Kamonwan Yodpetch,THA,2007/9/10
1067,Carlotta Moccia,ITA,2003/3/17
1068,Luana Plaza Araujo,BRA,2005/8/14
1069,Ksenia Laskutova,RUS,1996/8/29
1070,Meritxell Teixido Garcia,ESP,2007/6/30
1070,Sofia Martianova,RUS,
1072,Ru Xi Wu,CHN,2008/8/1
1073,Katarzyna Piter,POL,1991/2/16
1074,Maribella Zamarripa,USA,2002/8/15
1075,Ada Kumru,TUR,
1076,Nadia Kulbiej,POL,2007/4/26
1077,Qiu Yu Ye,CHN,1997/11/29
1078,Laetitia Sarrazin,FRA,1993/3/8
1079,Kiara Zabkova,SVK,2007/5/16
1080,Lani Chang,USA,
1081,Daria Kuczer,POL,1999/2/26
1082,Mandegar Farzami,IRI,
1083,Riko Kikawada,JPN,
1084,Alisa Vasileva,RUS,2005/10/21
1085,Maayan Laron,ISR,2007/7/18
1086,Judith Perello Saavedra,ESP,2002/1/23
1087,Kolie Allen,USA,2000/3/17
1088,Sofiia Suslova,RUS,2004/8/9
1089,Josefina Estevez,ARG,2007/12/19
1090,Eva Marie Desvignes,FRA,
1090,Karolina Vlckova,CZE,2000/10/17
1090,Katerina Mandelikova,CZE,2003/6/13
1093,Vlada Ekshibarova,UZB,1989/3/14
1094,Asylzhan Arystanbekova,KAZ,2006/3/1
1094,Ilinca Sagmar,ROU,
1096,Malkia Menguene,USA,2000/8/8
1097,Andjela Lazarevic,SRB,2005/6/20
1098,Giuliana Bestetti,ITA,1997/10/1
1098,Maelle Leclercq,FRA,2004/1/19
1100,Francesca Gandolfi,ITA,
1101,Isabella Marton,CAN,2008/4/10
1102,Valerie Glozman,USA,2006/11/22
1103,Tayisiya Morderger,GER,1997/3/7
1104,Rebeca Pereira,BRA,1993/3/23
1105,Daniela Piani,GBR,2007/4/21
1106,Denisa Hindova,CZE,2002/7/17
1107,Eleonora Alvisi,ITA,2003/3/13
1108,Welles Newman,USA,
1109,Jahnie Van Zyl,RSA,2009/2/17
1110,Olga Helmi,DEN,2000/3/27
1111,Emma Kamper,DEN,2004/6/25
1111,Stefania Rogozinska Dzik,POL,2001/7/7
1113,Milana Maslenkova,UZB,2001/8/13
1114,Warona Mdlulwa,RSA,2000/2/17
1115,Mia Wainwright,GBR,
1116,Juliana Giaccio,ESP,
1117,Annabelle Xu,CAN,
1118,Anna Lena Ebster,AUT,2004/1/6
1119,Elena Jamshidi,DEN,2001/3/16
1120,Claudia Gasparovic,AUT,2004/10/28
1121,Anna Tabunshchyk,CAN,
1122,Tianmi Mi,CHN,2004/6/26
1123,Natalia Krockova,SVK,
1124,Marina Bulbarella,ARG,2005/9/21
1125,Dejana Radanovic,SRB,1996/5/14
1125,Denisa Zoldakova,CZE,
1127,Kate Fakih,USA,2006/10/30
1127,Luciana Perry,USA,
1129,Alice Ferlito,ESP,
1130,Eliz Maloney,GBR,2000/8/10
1130,Federica Bilardo,ITA,1999/7/6
1132,Yleymi Lugiana Muelle Valdez,PER,2008/5/23
1133,Ava Monet Sycamore,AUS,
1134,Maria Kononova,RUS,1997/3/4
1135,Margaret Sohns,USA,
1136,Alexandra Irina Anghel,ROU,2007/3/12
1137,Kianah Motosono,USA,
1137,Tori Kinard,USA,1987/11/24
1139,Cristiana Nicoleta Todoni,ROU,2006/12/6
1139,Sydney Jara,USA,
1141,Liv Boulard,FRA,2008/1/2
1142,Ayline Esina Samardzic,CRO,2002/11/10
1143,Viktoria Veleva,BUL,2004/4/7
1144,Emma Slavikova,CZE,2003/1/24
1145,Jizel Matos Sequeira Fernandes,GBR,2001/2/7
1146,Sara Lanca,POR,1997/3/2
1147,Marian Gomez Pezuela Cano,MEX,2001/9/24
1148,Aishi Das,NZL,
1149,Ava Beck,AUS,
1150,Anastasia Sysoeva,RUS,2003/4/5
1151,Vivian Yang,NZL,2005/1/11
1152,Zaire Clarke,USA,
1153,Berta Passola,ESP,
1153,India Houghton,USA,2002/2/16
1153,Kira Bataikina,RUS,2007/12/14
1153,Xinle Geng,CHN,2010/11/24
1157,Aravane Rezai,FRA,1987/3/14
1158,Mia Slama,USA,
1158,Raveena Kingsley,USA,1998/7/23
1160,Emma Wilson,GBR,1997/2/18
1161,Karla Bartel,GER,
1162,Manca Pislak,SLO,1997/9/9
1163,Anri Nagata,JPN,2000/5/3
1164,Emma Van Poppel,NED,
1165,Mavie Osterreicher,AUT,2002/4/5
1166,Barbara Straszewska,POL,
1166,Polina Kaibekova,RUS,2006/11/3
1168,Feier Hu,CHN,
1169,Leticia Garcia Vidal,BRA,1997/3/13
1170,Aoi Ide,JPN,
1171,Alina Trynkina,RUS,
1172,Nao Nishino,JPN,
1173,Anastasia Efremova,RUS,
1173,Karine Marion Job,FRA,2001/5/6
1173,Vlada Zvereva,BLR,2001/9/15
1176,Jaedan Brown,USA,
1176,Mouna Bouzgarrou,TUN,1999/10/13
1178,Kseniia Ruchkina,RUS,2010/1/19
1179,Klara Kosan,USA,2001/10/8
1180,Georgina Groth,GER,
1181,Tara Moore,GBR,1992/8/6
1182,Jennifer Rosa Dourado,BRA,2000/12/11
1182,Paola Lopez,USA,
1184,Marcella Dessolis,ITA,
1184,Milla Sequeira,SUI,2003/8/24
1186,Isabella Svahn,SWE,2006/6/22
1186,Katarina Kujovic,BEL,
1188,Alisa Danilova,RUS,1993/4/7
1189,Lourdes Ayala,ARG,2006/6/18
1190,Sarafina Hansen,DEN,2005/6/7
1190,Tanisha Kashyap,IND,2002/4/25
1192,Barbara Dessolis,ITA,2001/9/21
1193,Renee Alame,AUS,
1194,Min Liu,CHN,1993/2/5
1195,Kanon Sawashiro,JPN,
1196,Kali Supova,SVK,
1197,Piper Charney,USA,2005/7/6
1198,Celia Anson Sanchez,ESP,
1198,Cristina Ramos Sierra,ESP,
1200,Anastasia Lizunova,RUS,
1200,Emily Sartz Lunde,NOR,2006/1/12
1202,Karolina Mrazikova,SVK,2004/10/26
1202,Lucrezia Musetti,ITA,
1204,Fabienne Gettwart,GER,1996/1/3
1204,Giulia Alessia Monteleone,ITA,
1204,Sera Nishimoto,JPN,2001/1/2
1207,Ciara Moore,GBR,
1208,Sofia Cohen Perovani,BRA,2006/7/16
1209,Jiho Shin,KOR,2002/3/8
1209,Kaede Usui,USA,
1209,Lexue Xiao,CHN,2006/11/18
1209,Sevil Yuldasheva,UZB,2002/1/9
1213,Lara Smejkal,SLO,2004/8/7
1214,Anjali Rathi,IND,2006/2/28
1214,Bunyawi Thamchaiwat,THA,1998/7/29
1214,Julita Saner,SWE,1999/4/29
1217,Lucia Natal Gomez,ESP,1999/5/31
1218,Dia Evtimova,BUL,1987/4/30
1219,Francesca Delledera,ITA,1996/6/28
1219,Hania Abouelsaad,EGY,2003/1/29
1219,Jasmine Conway,GBR,2004/12/21
1222,Lois Newberry,GBR,2007/1/9
1222,Rachael Smith,USA,
1224,Ana Victoria Gobbi Monllau,ARG,1996/12/26
1225,Emily De Oliveira,USA,2003/3/1
1226,Elena Giessler,GER,2002/12/21
1227,Caterina Odorizzi,ITA,
1227,Laura Boehner,GER,2001/7/30
1229,Summer Yardley,GBR,2000/1/28
1230,Maria Oliver Sanchez,ESP,2000/5/14
1231,Yana Morderger,GER,1997/3/7
1232,Naoko Eto,JPN,1984/12/17
1233,Qianhui Tang,CHN,2000/9/10
