tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Abu Dhabi,P,2021-01-06,Hard,SF,3,Aryna Sabalenka,Maria Sakkari,6-3 6-2,10,22,4220,2405
Abu Dhabi,P,2021-01-06,Hard,SF,3,Veronika Kudermetova,Marta Kostyuk,7-6(8) 6-4,46,99,1453,767
Abu Dhabi,P,2021-01-06,Hard,QF,3,Maria Sakkari,Sofia Kenin,2-6 6-2 6-0,22,4,2405,5760
Abu Dhabi,P,2021-01-06,Hard,QF,3,Aryna Sabalenka,Elena Rybakina,6-4 4-6 6-3,10,19,4220,2696
Abu Dhabi,P,2021-01-06,Hard,QF,3,Marta Kostyuk,Sara Sorribes Tormo,0-6 6-1 6-4,99,66,767,1040
Abu Dhabi,P,2021-01-06,Hard,QF,3,Veronika Kudermetova,Elina Svitolina,5-7 6-3 7-6(3),46,5,1453,5260
Abu Dhabi,P,2021-01-06,Hard,R16,3,Sofia Kenin,Yulia Putintseva,3-6 7-6(5) 6-4,4,28,5760,2015
Abu Dhabi,P,2021-01-06,Hard,R16,3,Maria Sakkari,Garbine Muguruza,7-5 6-4,22,15,2405,3016
Abu Dhabi,P,2021-01-06,Hard,R16,3,Aryna Sabalenka,Ons Jabeur,6-2 6-4,10,31,4220,1883
Abu Dhabi,P,2021-01-06,Hard,R16,3,Elena Rybakina,Daria Kasatkina,6-3 6-4,19,72,2696,985
Abu Dhabi,P,2021-01-06,Hard,R16,3,Marta Kostyuk,Tamara Zidansek,6-1 6-1,99,87,767,840
Abu Dhabi,P,2021-01-06,Hard,R16,3,Sara Sorribes Tormo,Anastasia Gasanova,7-5 6-3,66,292,1040,211
Abu Dhabi,P,2021-01-06,Hard,R16,3,Veronika Kudermetova,Paula Badosa,6-4 4-6 6-1,46,70,1453,1018
Abu Dhabi,P,2021-01-06,Hard,R16,3,Elina Svitolina,Ekaterina Alexandrova,6-2 6-7(5) 7-6(8),5,33,5260,1775
Abu Dhabi,P,2021-01-06,Hard,R32,3,Sofia Kenin,Kirsten Flipkens,5-7 5-4,4,86,5760,878
Abu Dhabi,P,2021-01-06,Hard,R32,3,Yulia Putintseva,Barbora Krejcikova,6-4 7-5,28,65,2015,1071
Abu Dhabi,P,2021-01-06,Hard,R32,3,Maria Sakkari,Coco Gauff,7-5 6-2,22,48,2405,1364
Abu Dhabi,P,2021-01-06,Hard,R32,3,Garbine Muguruza,Aliaksandra Sasnovich,6-1 6-4,15,90,3016,833
Abu Dhabi,P,2021-01-06,Hard,R32,3,Aryna Sabalenka,Ajla Tomljanovic,7-5 6-4,10,68,4220,1035
Abu Dhabi,P,2021-01-06,Hard,R32,3,Ons Jabeur,Kateryna Bondarenko,5-7 6-3,31,285,1883,219
Abu Dhabi,P,2021-01-06,Hard,R32,3,Daria Kasatkina,Karolina Muchova,W/O,72,27,985,2036
Abu Dhabi,P,2021-01-06,Hard,R32,3,Elena Rybakina,Xiyu Wang,6-4 6-4,19,123,2696,623
Abu Dhabi,P,2021-01-06,Hard,R32,3,Marta Kostyuk,Su Wei Hsieh,6-3 6-7(4),99,67,767,1035
Abu Dhabi,P,2021-01-06,Hard,R32,3,Tamara Zidansek,Leylah Fernandez,6-4 6-4,87,88,840,838
Abu Dhabi,P,2021-01-06,Hard,R32,3,Sara Sorribes Tormo,Bernarda Pera,5-7 6-3 6-4,66,62,1040,1105
Abu Dhabi,P,2021-01-06,Hard,R32,3,Anastasia Gasanova,Karolina Pliskova,6-2 6-4,292,6,211,5205
Abu Dhabi,P,2021-01-06,Hard,R32,3,Paula Badosa,Alize Cornet,6-4 6-4,70,53,1018,1290
Abu Dhabi,P,2021-01-06,Hard,R32,3,Veronika Kudermetova,Bianca Turati,6-2 6-1,46,318,1453,179
Abu Dhabi,P,2021-01-06,Hard,R32,3,Ekaterina Alexandrova,Heather Watson,7-5 6-7(7) 6-3,33,58,1775,1156
Abu Dhabi,P,2021-01-06,Hard,R32,3,Elina Svitolina,Vera Zvonareva,6-4 6-1,5,164,5260,440
Abu Dhabi,P,2021-01-06,Hard,R64,3,Sofia Kenin,Zhaoxuan Yang,7-6(4) 6-2,4,789,5760,27
Abu Dhabi,P,2021-01-06,Hard,R64,3,Kirsten Flipkens,Laura Siegemund,5-7 7-5 6-4,86,51,878,1331
Abu Dhabi,P,2021-01-06,Hard,R64,3,Barbora Krejcikova,Jamie Loeb,6-1 6-3,65,255,1071,248
Abu Dhabi,P,2021-01-06,Hard,R64,3,Yulia Putintseva,Martina Trevisan,6-3 6-3,28,85,2015,879
Abu Dhabi,P,2021-01-06,Hard,R64,3,Maria Sakkari,Anastasia Potapova,6-4 6-2,22,101,2405,759
Abu Dhabi,P,2021-01-06,Hard,R64,3,Coco Gauff,Ulrikke Eikeri,6-0 6-1,48,260,1364,245
