tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
United Cup,I,2023-01-02,Hard,F,3,Jessica Pegula,Martina Trevisan,6-4 6-2,3,27,4691,1528
United Cup,I,2023-01-02,Hard,F,3,Madison Keys,Lucia Bronzetti,6-3 6-2,11,54,2417,951
United Cup,I,2023-01-02,Hard,SF,3,Jessica Pegula,Iga Swiatek,6-2 6-2,3,1,4691,11085
United Cup,I,2023-01-02,Hard,SF,3,Madison Keys,Magda Linette,6-4 6-2,11,48,2417,1030
United Cup,I,2023-01-02,Hard,SF,3,Martina Trevisan,Maria Sakkari,6-3 6-7(4) 7-5,27,6,1528,3871
United Cup,I,2023-01-02,Hard,SF,3,Lucia Bronzetti,Valentini Grammatikopoulou,6-2 6-3,54,199,951,333
United Cup,I,2023-01-02,Hard,RR,3,Maria Sakkari,Petra Martic,6-3 6-3,6,38,3871,1203
United Cup,I,2023-01-02,Hard,RR,3,Donna Vekic,Despina Papamichail,6-2 6-0,67,158,827,409
United Cup,I,2023-01-02,Hard,RR,3,Iga Swiatek,Martina Trevisan,6-2 6-4,1,27,11085,1528
United Cup,I,2023-01-02,Hard,RR,3,Magda Linette,Lucia Bronzetti,6-1 6-2,48,54,1030,951
United Cup,I,2023-01-02,Hard,RR,3,Jessica Pegula,Harriet Dart,6-2 6-0,3,98,4691,635
United Cup,I,2023-01-02,Hard,RR,3,Madison Keys,Katie Swan,2-6 6-3 6-4,11,145,2417,435
United Cup,I,2023-01-02,Hard,RR,3,Maria Sakkari,Elise Mertens,6-1 7-5,6,29,3871,1475
United Cup,I,2023-01-02,Hard,RR,3,Alison Van Uytvanck,Despina Papamichail,7-5 2-6 6-3,72,158,794,409
United Cup,I,2023-01-02,Hard,RR,3,Maria Sakkari,Viktoriya Tomova,6-3 6-2,6,90,3871,682
United Cup,I,2023-01-02,Hard,RR,3,Despina Papamichail,Isabella Shinikova,3-6 6-4 6-1,158,379,409,131
United Cup,I,2023-01-02,Hard,RR,3,Elise Mertens,Gergana Topalova,6-4 3-6 6-0,29,324,1475,177
United Cup,I,2023-01-02,Hard,RR,3,Alison Van Uytvanck,Isabella Shinikova,6-1 3-6 6-3,72,379,794,131
United Cup,I,2023-01-02,Hard,RR,3,Iga Swiatek,Belinda Bencic,6-3 7-6(3),1,12,11085,2365
United Cup,I,2023-01-02,Hard,RR,3,Magda Linette,Jil Teichmann,5-7 6-4 6-1,48,35,1030,1336
United Cup,I,2023-01-02,Hard,RR,3,Iga Swiatek,Yulia Putintseva,6-1 6-3,1,51,11085,995
United Cup,I,2023-01-02,Hard,RR,3,Magda Linette,Zhibek Kulambayeva,6-2 6-1,48,464,1030,93
United Cup,I,2023-01-02,Hard,RR,3,Belinda Bencic,Yulia Putintseva,7-6(0) 6-3,12,51,2365,995
