tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Australian Open,Grand Slam,1970-01-19,Grass,R64,3,Caroline Langsford,Sally Irvine,6-3 6-2,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R64,3,Helen Amos,Caroline Cooper,6-0 6-3,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R64,3,Norma Marsh,Sharon Thomson,6-2 7-5,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R64,3,Vicki Lancaster Kerr,Theresa Van Haren,6-1 6-1,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R64,3,Sandra Walsham,Judy Harris,7-5 6-4,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R64,3,Sandra Hole,L Cameron,6-3 6-0,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R64,3,Cheryl Norquay,Mandy Morgan,6-3 3-6 6-3,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R64,3,Cynthia Doerner,Norma Eastburn,4-6 6-4 6-3,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R64,3,Valerie Caulley,Elizabeth Allan,W/O,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R64,3,Helen Sheedy,Kerry Ballard,7-5 11-9,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R64,3,Adrienne Avis,Janet Fallis,1-6 6-3 6-3,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Margaret Court,Caroline Langsford,6-0 6-0,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Kerry Wilkinson,Helen Kayser,6-4 3-6 7-5,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Kerry Harris,Helen Amos,6-3 8-6,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Evonne Goolagong,Norma Marsh,6-4 6-4,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Karen Krantzcke,Vicki Lancaster Kerr,6-3 6-2,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Lita Liem,Judith Dibar,6-3 6-3,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Judy Tegart,Sandra Walsham,6-3 6-2,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Lany Kaligis,Janine Whyte,6-4 6-3,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Janet Young,Sandra Hole,6-2 6-3,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Lesley Hunt,Cheryl Norquay,6-0 6-2,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Wendy Gilchrist,Wendy Turnbull,6-4 6-2,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Winnie Shaw,Cynthia Doerner,6-1 6-3,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Jan Lehane,Valerie Caulley,6-1 6-0,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Christina Sandberg,Helen Sheedy,6-0 6-3,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Susan Alexander,Marilyn Tesch,6-4 8-6,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R32,3,Kerry Reid,Adrienne Avis,6-3 6-2,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R16,3,Margaret Court,Kerry Wilkinson,6-0 6-1,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R16,3,Evonne Goolagong,Kerry Harris,10-8 6-0,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R16,3,Karen Krantzcke,Lita Liem,6-1 6-4,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R16,3,Judy Tegart,Lany Kaligis,6-1 6-3,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R16,3,Lesley Hunt,Janet Young,8-6 6-3,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R16,3,Winnie Shaw,Wendy Gilchrist,6-1 6-3,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R16,3,Christina Sandberg,Jan Lehane,8-6 7-5,,,,
Australian Open,Grand Slam,1970-01-19,Grass,R16,3,Kerry Reid,Susan Alexander,6-0 6-2,,,,
Australian Open,Grand Slam,1970-01-19,Grass,QF,3,Margaret Court,Evonne Goolagong,6-3 6-1,,,,
Australian Open,Grand Slam,1970-01-19,Grass,QF,3,Karen Krantzcke,Judy Tegart,8-6 11-9,,,,
Australian Open,Grand Slam,1970-01-19,Grass,QF,3,Winnie Shaw,Lesley Hunt,6-4 6-3,,,,
Australian Open,Grand Slam,1970-01-19,Grass,QF,3,Kerry Reid,Christina Sandberg,6-0 6-2,,,,
Australian Open,Grand Slam,1970-01-19,Grass,SF,3,Margaret Court,Karen Krantzcke,6-1 6-3,,,,
Australian Open,Grand Slam,1970-01-19,Grass,SF,3,Kerry Reid,Winnie Shaw,8-6 6-4,,,,
Australian Open,Grand Slam,1970-01-19,Grass,F,3,Margaret Court,Kerry Reid,6-3 6-1,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Kerry Reid,Janice Townsend,6-4 6-1,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Olga Morozova,Judith Szorenyi,6-2 6-3,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Marianna Brummer,Jane Ohara,6-4 6-3,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Marilyn Greenwood,Patricia Edwards,6-0 6-3,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Alena Palmeova West,Suzana Gesteira,6-2 6-3,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Peggy Michel,Alex Cowie,6-3 6-2,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Winnie Shaw,Kerry Harris,6-3 4-6 6-3,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Lesley Hunt,Stephanie Defina,7-5 6-4,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Rosie Casals,Kathleen Harter,8-6 6-1,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Wendy Overton,Lexie Kenny,6-3 7-5,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Laura Rossouw,Maria Teresa Nasuelli,6-0 6-2,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Denise Carter,Patricia Walkden,6-3 3-6 6-3,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Shirley Bloomer,Marilyn Pryde,9-7 6-0,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Lindsey Beaven,Joan Wilshere,6-4 2-6 6-3,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Chikako Murakami,Christiane Spinoza,8-10 6-2 8-6,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Christina Sandberg,Jackie Fayter,10-8 6-0,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Sharon Walsh Pete,Patti Hogan,8-6 6-3,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Helen Gourlay,Lita Liem,6-0 2-6 6-4,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Mary Ann Eisel,Marie Pinterova,7-5 4-6 6-3,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Francoise Durr,Lany Kaligis,6-2 6-3,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Valerie Ziegenfuss,Sandra Walsham,7-5 6-2,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Trudy Groenman,Daphne Pattison,6-3 6-4,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Helen Amos,Monica Giorgi,6-0 6-2,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Julie Heldman,Fay Toyne,6-2 6-1,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Cecilia Martinez,Kimiyo Yagahara,6-2 6-0,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Patricia Cody,Wendy Tomlinson,1-6 8-6 6-2,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Rita Bentley,Wendy Hall,6-1 6-1,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Veronica Burton,Eugenia Isopaitis,2-6 9-7 6-4,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Evonne Goolagong,Odile De Roubin,6-1 6-2,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Peaches Bartkowicz,Kristy Pigeon,3-6 9-7 6-1,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Annette Van Zyl,Brenda Kirk,2-6 6-3 6-4,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R128,3,Virginia Wade,Sally Holdsworth,6-1 6-4,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Margaret Court,Susan Alexander,6-0 6-1,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Maria Eugenia Guzman,Ingrid Bentzer,4-6 6-3 6-3,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Vlasta Kodesova,Robin Lloyd,6-0 6-3,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Jill Cooper,Corinne Molesworth,6-1 6-3,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Helga Masthoff,Ana Maria Arias,6-3 6-0,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Gail Hansen,Evelyne Terras,6-4 0-6 8-6,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Ada Bakker,Heide Orth,5-7 6-4 11-9,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Betty Ann Grubb,Pam Teeguarden,4-6 8-6 6-1,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Kerry Reid,Olga Morozova,11-9 7-5,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Marianna Brummer,Marilyn Greenwood,6-4 7-5,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Peggy Michel,Alena Palmeova West,6-0 6-0,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Winnie Shaw,Lesley Hunt,6-4 6-2,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Rosie Casals,Wendy Overton,6-3 6-1,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Denise Carter,Laura Rossouw,6-3 6-3,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Shirley Bloomer,Lindsey Beaven,6-4 6-4,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Christina Sandberg,Chikako Murakami,6-2 6-2,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Sharon Walsh Pete,Helen Gourlay,6-2 6-4,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Francoise Durr,Mary Ann Eisel,6-1 6-4,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Valerie Ziegenfuss,Trudy Groenman,6-4 7-5,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Julie Heldman,Helen Amos,6-4 6-2,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Cecilia Martinez,Patricia Cody,6-3 6-1,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Rita Bentley,Veronica Burton,8-6 1-6 10-8,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Peaches Bartkowicz,Evonne Goolagong,6-4 6-0,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Virginia Wade,Annette Van Zyl,6-4 7-5,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Gail Sherriff,Joyce Williams,6-3 6-2,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Judy Tegart,Sue Tutt,6-0 6-0,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Kazuko Sawamatsu,Frances Luff,6-1 6-2,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Karen Krantzcke,Nell Truman,6-1 6-8 7-5,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Lea Pericoli,Elizabeth Ernest,6-4 7-5,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Esme Emmanuel,Carole Graebner,7-5 5-7 6-3,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Marijke Jansen,Betty Stove,6-2 3-6 9-7,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R64,3,Billie Jean King,Fiorella Bonicelli,6-2 6-1,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R32,3,Margaret Court,Maria Eugenia Guzman,6-0 6-1,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R32,3,Vlasta Kodesova,Jill Cooper,5-7 10-8 6-2,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R32,3,Helga Masthoff,Gail Hansen,8-6 6-1,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R32,3,Betty Ann Grubb,Ada Bakker,7-5 6-2,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R32,3,Kerry Reid,Marianna Brummer,6-4 3-6 6-2,,,,
Wimbledon,Grand Slam,1970-06-22,Grass,R32,3,Winnie Shaw,Peggy Michel,6-3 6-0,,,,
