tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
United Cup,I,2024-01-01,Hard,F,3,Iga Swiatek,Angelique Kerber,6-3 6-0,1,,9505,
United Cup,I,2024-01-01,Hard,SF,3,Iga Swiatek,Caroline Garcia,4-6 6-1 6-1,1,20,9505,2330
United Cup,I,2024-01-01,Hard,SF,3,Angelique Kerber,Ajla Tomljanovic,4-6 6-2 7-6(7),,292,,246
United Cup,I,2024-01-01,Hard,QF,3,Iga Swiatek,Qinwen Zheng,6-2 6-3,1,14,9505,2770
United Cup,I,2024-01-01,Hard,QF,3,Caroline Garcia,Malene Helgo,6-2 6-7(6) 7-6(5),20,544,2330,89
United Cup,I,2024-01-01,Hard,QF,3,Ajla Tomljanovic,Natalija Stevanovic,6-1 6-1,292,184,246,417
United Cup,I,2024-01-01,Hard,QF,3,Maria Sakkari,Angelique Kerber,6-0 6-3,8,,3785,
United Cup,I,2024-01-01,Hard,RR,3,Iga Swiatek,Sara Sorribes Tormo,6-2 6-1,1,53,9505,1126
United Cup,I,2024-01-01,Hard,RR,3,Iga Swiatek,Beatriz Haddad Maia,6-2 6-2,1,11,9505,2940
United Cup,I,2024-01-01,Hard,RR,3,Beatriz Haddad Maia,Sara Sorribes Tormo,7-6(1) 6-2,11,53,2940,1126
United Cup,I,2024-01-01,Hard,RR,3,Maria Sakkari,Leylah Fernandez,7-6(2) 6-3,8,34,3785,1385
United Cup,I,2024-01-01,Hard,RR,3,Maria Sakkari,Daniela Seguel,6-0 6-1,8,671,3785,57
United Cup,I,2024-01-01,Hard,RR,3,Leylah Fernandez,Daniela Seguel,6-2 6-3,34,671,1385,57
United Cup,I,2024-01-01,Hard,RR,3,Katie Boulter,Jessica Pegula,5-7 6-4 6-4,57,5,1075,6180
United Cup,I,2024-01-01,Hard,RR,3,Jessica Pegula,Ajla Tomljanovic,7-6(6) 6-3,5,292,6180,246
United Cup,I,2024-01-01,Hard,RR,3,Katie Boulter,Ajla Tomljanovic,6-2 6-4,57,292,1075,246
United Cup,I,2024-01-01,Hard,RR,3,Caroline Garcia,Jasmine Paolini,6-4 5-7 6-4,20,29,2330,1530
United Cup,I,2024-01-01,Hard,RR,3,Caroline Garcia,Angelique Kerber,1-6 6-2 6-2,20,,2330,
United Cup,I,2024-01-01,Hard,RR,3,Jasmine Paolini,Angelique Kerber,6-4 7-5,29,,1530,
United Cup,I,2024-01-01,Hard,RR,3,Qinwen Zheng,Marketa Vondrousova,6-1 2-6 6-1,14,7,2770,4046
United Cup,I,2024-01-01,Hard,RR,3,Marketa Vondrousova,Olga Danilovic,6-1 3-6 6-3,7,121,4046,627
United Cup,I,2024-01-01,Hard,RR,3,Qinwen Zheng,Olga Danilovic,6-4 6-2,14,121,2770,627
United Cup,I,2024-01-01,Hard,RR,3,Donna Vekic,Arantxa Rus,6-2 3-6 6-1,24,51,1905,1149
United Cup,I,2024-01-01,Hard,RR,3,Donna Vekic,Malene Helgo,7-5 3-6 6-3,24,544,1905,89
United Cup,I,2024-01-01,Hard,RR,3,Arantxa Rus,Malene Helgo,7-6(4) 6-1,51,544,1149,89
Brisbane,P,2024-01-01,Hard,F,3,Elena Rybakina,Aryna Sabalenka,6-0 6-3,4,2,6366,9050
Brisbane,P,2024-01-01,Hard,SF,3,Aryna Sabalenka,Victoria Azarenka,6-2 6-4,2,23,9050,1916
Brisbane,P,2024-01-01,Hard,SF,3,Elena Rybakina,Linda Noskova,6-3 6-2,4,40,6366,1278
Brisbane,P,2024-01-01,Hard,QF,3,Aryna Sabalenka,Daria Kasatkina,6-1 6-4,2,18,9050,2715
